Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
18,1005,1,NULL,0,0,51
19,1005,1,NULL,0,0,51
18,1005,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
17,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
16,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1250,1,NULL,0,0,51
18,1250,1,NULL,0,0,51
19,1250,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
17,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
17,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
17,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
18,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
19,1508,1,NULL,0,0,51
20,1508,1,NULL,0,0,51
